mon data pour n=1					
	rho	F(rho)		rho	G(rho)
	0.026479	0.072625		1.666084	18.480439
	0.026793	0.07351		1.667302	18.51121
	0.026872	0.073731		1.668598	18.544531
	0.027068	0.074285		1.669777	18.574946
	0.027186	0.074617		1.670995	18.60602
	0.027265	0.074839		1.672173	18.636513
	0.027382	0.075171		1.67347	18.669643
	0.0275	0.075503		1.674766	18.702633
	0.027697	0.076058		1.67618	18.739192
	0.027893	0.076612		1.677477	18.772462
	0.027893	0.076612		1.678695	18.803606
	0.027893	0.076612		1.679991	18.837332
	0.027972	0.076834		1.681091	18.865756
	0.02809	0.077167		1.68227	18.896208
	0.028365	0.077944		1.683566	18.929507
	0.028482	0.078277		1.684784	18.961408
